species,geo_distance,env_distance,phylo_distance
Anas gibberifrons,10538218.312383495,5.302997971289114,187.55515887106426
Anas gracilis,10496432.496465955,5.043638125640285,187.55485814849575
Anas luzonica,10470894.638026362,3.95206513131359,187.55199847709193
Anas melleri,9386481.32306165,3.036464184730857,187.5522423466259
Anas nesiotis,10614351.399994366,5.179020371469488,187.55374408544122
Anas platyrhynchos,9517330.97524433,6.155660058748572,187.55193906857295
Anas poecilorhyncha,9659560.052657934,3.352801680886693,187.55193906857295
Anas rubripes,9691531.306020636,6.618429905753862,187.55195756291158
Anas sparsa,9000894.33201116,3.597042643178996,187.55312822891256
Anas superciliosa,10497230.20427952,4.8856958271501565,187.55225516418705
Anas undulata,8996360.876581103,3.3443457358024706,187.5522423466259
